run_id,subject_id,identity_risk,empirical_success,empirical_confidence,true_subject,predicted_subject
s03_ex10,s03,66.54166666666667,1,0.8603491272580525,s03,s03
s04_ex01_s01,s04,61.208333333333336,0,0.1383239867812116,s04,s03
s04_ex01_s02,s04,55.708333333333336,1,0.20471422475941262,s04,s04
s04_ex01_s03,s04,58.875,0,0.1144867219385921,s04,s17
s04_ex02_s01,s04,62.125,1,0.23166355637346325,s04,s04
s04_ex02_s02,s04,61.458333333333336,1,0.1696795504800098,s04,s04
s04_ex02_s03,s04,61.708333333333336,1,0.20156136124885027,s04,s04
s04_ex05,s04,62.875,1,0.21465155015988646,s04,s04
s04_ex06,s04,59.375,1,0.2940696714220481,s04,s04
s04_ex07,s04,65.91666666666667,1,0.21734361729777563,s04,s04
s04_ex08,s04,55.125,1,0.30666245012428467,s04,s04
s04_ex09,s04,58.375,1,0.23230372679011904,s04,s04
s04_ex10,s04,56.791666666666664,1,0.23902004846138433,s04,s04
s05_ex01_s01,s05,56.041666666666664,0,0.15156984254105244,s05,s16
s05_ex01_s02,s05,57.666666666666664,1,0.40543615362858176,s05,s05
s05_ex01_s03,s05,60.291666666666664,1,0.3594661912585013,s05,s05
s05_ex02_s01,s05,67.16666666666667,1,0.2597774980506634,s05,s05
s05_ex02_s02,s05,66.45833333333333,1,0.6163183092814817,s05,s05
s05_ex02_s03,s05,66.625,1,0.19588409177774238,s05,s05
s05_ex05,s05,66.75,1,0.5984117300961636,s05,s05
s05_ex06,s05,68.20833333333333,1,0.6213109392716104,s05,s05
s05_ex07,s05,69.125,1,0.7058654506436298,s05,s05
s05_ex08,s05,67.75,1,0.3802286746227199,s05,s05
s05_ex09,s05,64.95833333333333,1,0.48932645967822247,s05,s05
s05_ex10,s05,66.25,0,0.3609559975369834,s05,s06
s06_ex01_s01,s06,50.583333333333336,0,0.15469929560888507,s06,s16
s06_ex01_s02,s06,53.25,1,0.17235428229559022,s06,s06
s06_ex01_s03,s06,53.5,1,0.17161909241749096,s06,s06
s06_ex02_s01,s06,55.875,0,0.14849100501936974,s06,s18
s06_ex02_s02,s06,57.291666666666664,0,0.14041202194620248,s06,s07
s06_ex02_s03,s06,58.333333333333336,1,0.12712501205299265,s06,s06
s06_ex05,s06,58.208333333333336,1,0.21161637514750176,s06,s06
s06_ex06,s06,59.333333333333336,1,0.22625308687023082,s06,s06
s06_ex07,s06,57.166666666666664,1,0.19684228648566462,s06,s06
s06_ex08,s06,56.916666666666664,1,0.17081357616416168,s06,s06
s06_ex09,s06,58.708333333333336,0,0.16066087159769052,s06,s12
s06_ex10,s06,66.25,0,0.037425666851476753,s06,s05
s07_ex01_s01,s07,55.708333333333336,0,0.09193085316643813,s07,s14
s07_ex01_s02,s07,60.875,0,0.11288995014348369,s07,s03
s07_ex01_s03,s07,63.916666666666664,0,0.09045389890719431,s07,s03
s07_ex02_s01,s07,58.125,1,0.26007520547443713,s07,s07
s07_ex02_s02,s07,55.833333333333336,1,0.29144186330956734,s07,s07
s07_ex02_s03,s07,58.25,0,0.15352962617459684,s07,s18
s07_ex05,s07,57.083333333333336,1,0.3257462859060937,s07,s07
s07_ex06,s07,60.875,1,0.30507005242671964,s07,s07
s07_ex07,s07,58.583333333333336,0,0.2483179842391657,s07,s06
s07_ex08,s07,60.75,1,0.3936302579396347,s07,s07
s07_ex09,s07,60.125,1,0.30428965942152914,s07,s07
s07_ex10,s07,60.833333333333336,1,0.3174153494665655,s07,s07
s08_ex01_s01,s08,56.0,1,0.2406904600430911,s08,s08
s08_ex01_s02,s08,58.041666666666664,0,0.12008395786283088,s08,s16
s08_ex01_s03,s08,66.08333333333333,0,0.15367242023273184,s08,s16
s08_ex02_s01,s08,59.75,1,0.19763883498351031,s08,s08
s08_ex02_s02,s08,59.041666666666664,1,0.35976139943565105,s08,s08
s08_ex02_s03,s08,59.25,1,0.36344064240215695,s08,s08
s08_ex05,s08,59.75,1,0.5021816675010389,s08,s08
s08_ex06,s08,61.041666666666664,1,0.46225367939556544,s08,s08
s08_ex07,s08,61.833333333333336,1,0.629759129744999,s08,s08
s08_ex08,s08,61.708333333333336,1,0.5147511864548845,s08,s08
s08_ex09,s08,59.416666666666664,1,0.3122346237277868,s08,s08
s08_ex10,s08,58.5,1,0.470185721339544,s08,s08
s09_ex01_s01,s09,53.125,1,0.29382482662854276,s09,s09
s09_ex01_s02,s09,57.5,1,0.2599617666255387,s09,s09
s09_ex01_s03,s09,52.75,1,0.4522138360838012,s09,s09
s09_ex02_s01,s09,56.166666666666664,1,0.7419727934645408,s09,s09
s09_ex02_s02,s09,56.916666666666664,1,0.5660467261816051,s09,s09
s09_ex02_s03,s09,56.791666666666664,1,0.6254451094530897,s09,s09
s09_ex05,s09,55.916666666666664,1,0.6098627673935536,s09,s09
s09_ex06,s09,57.041666666666664,1,0.4017077625651637,s09,s09
s09_ex07,s09,55.916666666666664,1,0.717231909703389,s09,s09
s09_ex08,s09,56.708333333333336,1,0.6545949416104063,s09,s09
s09_ex09,s09,56.0,1,0.6414495561682741,s09,s09
s09_ex10,s09,58.208333333333336,1,0.6764361450916253,s09,s09
s10_ex01_s01,s10,50.958333333333336,1,0.3208065813163419,s10,s10
s10_ex01_s02,s10,54.708333333333336,1,0.32452730340939245,s10,s10
s10_ex01_s03,s10,54.875,1,0.3648297659545199,s10,s10
s10_ex02_s01,s10,55.5,1,0.7166817452633049,s10,s10
s10_ex02_s02,s10,56.416666666666664,1,0.5882623452523048,s10,s10
s10_ex02_s03,s10,57.75,1,0.6356521038499422,s10,s10
s10_ex05,s10,57.0,1,0.47262578232119784,s10,s10
s10_ex06,s10,54.0,1,0.8251953963217821,s10,s10
s10_ex07,s10,53.708333333333336,1,0.6504202286395198,s10,s10
s10_ex08,s10,54.333333333333336,1,0.7346209164931574,s10,s10
s10_ex09,s10,54.541666666666664,1,0.6568527691036943,s10,s10
s10_ex10,s10,55.375,1,0.6405257117382425,s10,s10
s11_ex01_s01,s11,64.125,0,0.1696498877751534,s11,s04
s11_ex01_s02,s11,59.75,1,0.18930803021669462,s11,s11
s11_ex01_s03,s11,57.208333333333336,0,0.24721854070720592,s11,s02
s11_ex02_s01,s11,64.33333333333333,1,0.31240351133451993,s11,s11
s11_ex02_s02,s11,65.875,1,0.4028098144483603,s11,s11
s11_ex02_s03,s11,64.83333333333333,1,0.34358061528714107,s11,s11
s11_ex05,s11,68.04166666666667,1,0.510602833974816,s11,s11
s11_ex06,s11,66.70833333333333,1,0.4819411262292342,s11,s11
s11_ex07,s11,66.79166666666667,1,0.5201056178389531,s11,s11
s11_ex08,s11,63.083333333333336,1,0.3842416498370378,s11,s11
s11_ex09,s11,64.04166666666667,1,0.499956707108512,s11,s11
s11_ex10,s11,65.125,1,0.4121286461448938,s11,s11
s12_ex01_s01,s12,64.33333333333333,1,0.22403388710096298,s12,s12
s12_ex01_s02,s12,63.666666666666664,1,0.22296739223617465,s12,s12
s12_ex01_s03,s12,64.41666666666667,1,0.2579530748237453,s12,s12
s12_ex02_s01,s12,66.83333333333333,1,0.44690342166199687,s12,s12
s12_ex02_s02,s12,65.375,1,0.3965803897987434,s12,s12
s12_ex02_s03,s12,67.29166666666667,1,0.479239325818587,s12,s12
s12_ex05,s12,63.25,1,0.4374096757963149,s12,s12
s12_ex06,s12,67.25,1,0.4931218148942172,s12,s12
s12_ex07,s12,64.20833333333333,1,0.34788228235481605,s12,s12
s12_ex08,s12,65.04166666666667,1,0.4314455037498905,s12,s12
s12_ex09,s12,64.45833333333333,1,0.4543225476105266,s12,s12
s12_ex10,s12,69.08333333333333,1,0.32654737159997543,s12,s12
s13_ex01_s01,s13,48.375,1,0.36368168294197095,s13,s13
s13_ex01_s02,s13,50.416666666666664,0,0.11584211195597825,s13,s15
s13_ex01_s03,s13,49.791666666666664,1,0.2784716830857605,s13,s13
s13_ex02_s01,s13,49.083333333333336,1,0.36358521444474007,s13,s13
s13_ex02_s02,s13,49.458333333333336,1,0.36802239919604557,s13,s13
s13_ex02_s03,s13,48.125,1,0.36155285592296726,s13,s13
s13_ex05,s13,50.25,0,0.06767696665059746,s13,s06
s13_ex06,s13,50.958333333333336,1,0.33705448197041626,s13,s13
s13_ex07,s13,51.333333333333336,1,0.335183159177777,s13,s13
s13_ex08,s13,48.083333333333336,1,0.3782515827248412,s13,s13
s13_ex09,s13,50.208333333333336,1,0.34006293012693467,s13,s13
s13_ex10,s13,50.416666666666664,1,0.3990020421578399,s13,s13
s14_ex01_s01,s14,56.083333333333336,0,0.14336420390952218,s14,s20
s14_ex01_s02,s14,60.416666666666664,1,0.36383186981655186,s14,s14
s14_ex01_s03,s14,56.333333333333336,1,0.19566779896483855,s14,s14
s14_ex02_s01,s14,60.041666666666664,1,0.31200509860008957,s14,s14
s14_ex02_s02,s14,60.666666666666664,1,0.3066874449661629,s14,s14
s14_ex02_s03,s14,60.166666666666664,1,0.40103971775416475,s14,s14
s14_ex05,s14,64.5,1,0.47247175216015874,s14,s14
s14_ex06,s14,64.625,1,0.45885475271576076,s14,s14
s14_ex07,s14,65.45833333333333,1,0.6403244831272737,s14,s14
s14_ex08,s14,63.291666666666664,1,0.5309621379513971,s14,s14
s14_ex09,s14,64.5,1,0.4717916707757845,s14,s14
s14_ex10,s14,62.833333333333336,0,0.22874017010740802,s14,s12
s15_ex01_s01,s15,50.708333333333336,0,0.13786013312525916,s15,s13
s15_ex01_s02,s15,51.791666666666664,1,0.19361294614274174,s15,s15
s15_ex01_s03,s15,52.75,0,0.2577951471242733,s15,s13
s15_ex02_s01,s15,53.583333333333336,1,0.4149383371133373,s15,s15
s15_ex02_s02,s15,54.625,1,0.41311382480747083,s15,s15
s15_ex02_s03,s15,54.333333333333336,1,0.3707327169728772,s15,s15
s15_ex05,s15,54.208333333333336,1,0.281785223579924,s15,s15
s15_ex06,s15,52.75,1,0.3268685291702402,s15,s15
s15_ex07,s15,54.958333333333336,1,0.3130071512519641,s15,s15
s15_ex08,s15,56.916666666666664,1,0.31496488743100565,s15,s15
s15_ex09,s15,57.208333333333336,1,0.18061096469594828,s15,s15
s15_ex10,s15,55.458333333333336,1,0.29508750057874084,s15,s15
s16_ex01_s01,s16,61.791666666666664,1,0.34679636010550535,s16,s16
s16_ex01_s02,s16,62.125,1,0.36767291581005956,s16,s16
s16_ex01_s03,s16,62.458333333333336,1,0.36600109637697503,s16,s16
s16_ex02_s01,s16,53.791666666666664,1,0.46442627880332266,s16,s16
s16_ex02_s02,s16,53.791666666666664,1,0.46298275565029395,s16,s16
s16_ex02_s03,s16,54.958333333333336,0,0.10725897183865575,s16,s20
s16_ex05,s16,56.458333333333336,1,0.5245748560986178,s16,s16
s16_ex06,s16,56.875,1,0.3954152300443678,s16,s16
s16_ex07,s16,54.041666666666664,1,0.4530989836828277,s16,s16
s16_ex08,s16,54.208333333333336,1,0.4359131901903055,s16,s16
s16_ex09,s16,55.666666666666664,1,0.5383952434861353,s16,s16
s16_ex10,s16,55.041666666666664,1,0.4833961951661287,s16,s16
s17_ex01_s01,s17,59.791666666666664,1,0.2087547621089887,s17,s17
s17_ex01_s02,s17,59.916666666666664,1,0.27245200756915544,s17,s17
s17_ex01_s03,s17,59.916666666666664,1,0.2682503351978019,s17,s17
s17_ex02_s01,s17,55.708333333333336,1,0.5192135643848648,s17,s17
s17_ex02_s02,s17,54.75,1,0.5069352148153626,s17,s17
s17_ex02_s03,s17,58.166666666666664,1,0.4500128440660849,s17,s17
s17_ex05,s17,57.541666666666664,1,0.49157486906720943,s17,s17
s17_ex06,s17,56.458333333333336,1,0.5332949496412657,s17,s17
s17_ex07,s17,54.916666666666664,1,0.4826762999820759,s17,s17
s17_ex08,s17,57.125,1,0.4294508647617608,s17,s17
s17_ex09,s17,58.458333333333336,1,0.3910851611020134,s17,s17
s17_ex10,s17,56.214285714285715,1,0.387254152903364,s17,s17
s18_ex01_s01,s18,58.125,1,0.19137795363868734,s18,s18
s18_ex01_s02,s18,63.833333333333336,1,0.2131386955891688,s18,s18
s18_ex01_s03,s18,59.708333333333336,1,0.20138034434144095,s18,s18
s18_ex02_s01,s18,55.125,1,0.5247775854958633,s18,s18
s18_ex02_s02,s18,58.75,1,0.3082623609511402,s18,s18
s18_ex02_s03,s18,57.0,1,0.30220933203575684,s18,s18
s18_ex05,s18,60.041666666666664,1,0.37317149639398495,s18,s18
s18_ex06,s18,58.125,1,0.6652224364269358,s18,s18
s18_ex07,s18,57.708333333333336,1,0.45792774115690865,s18,s18
s18_ex08,s18,56.541666666666664,1,0.37779225308545156,s18,s18
s18_ex09,s18,60.708333333333336,1,0.6518743097296406,s18,s18
s18_ex10,s18,57.666666666666664,0,0.19418335695200625,s18,s06
s19_ex01_s01,s19,54.0,1,0.27201917619540433,s19,s19
s19_ex01_s02,s19,56.75,1,0.17034453367405034,s19,s19
s19_ex01_s03,s19,57.65217391304348,0,0.10056422145809972,s19,s03
s19_ex02_s01,s19,56.416666666666664,1,0.31925161864393153,s19,s19
s19_ex02_s02,s19,56.208333333333336,1,0.43135709920672305,s19,s19
s19_ex02_s03,s19,53.458333333333336,1,0.38533574238740725,s19,s19
s19_ex05,s19,58.375,1,0.2986041539967594,s19,s19
s19_ex06,s19,55.375,1,0.3317884061019402,s19,s19
s19_ex07,s19,54.25,1,0.34481670039446194,s19,s19
s19_ex08,s19,53.333333333333336,0,0.05333834388219855,s19,s13
s19_ex09,s19,58.208333333333336,1,0.3278888496521146,s19,s19
s19_ex10,s19,56.416666666666664,1,0.4060676795085503,s19,s19
s20_ex01_s01,s20,56.208333333333336,1,0.2526606128358451,s20,s20
s20_ex01_s02,s20,55.666666666666664,1,0.39968310307764393,s20,s20
s20_ex01_s03,s20,58.0,1,0.24813761682111563,s20,s20
s20_ex02_s01,s20,53.625,1,0.4603873402032142,s20,s20
s20_ex02_s02,s20,50.125,1,0.4890109819355882,s20,s20
s20_ex02_s03,s20,49.291666666666664,1,0.6270975960307633,s20,s20
s20_ex05,s20,56.75,1,0.5068617647348482,s20,s20
s20_ex06,s20,58.0,1,0.4826143570119381,s20,s20
s20_ex07,s20,51.583333333333336,1,0.4575930352737123,s20,s20
s20_ex08,s20,54.0,1,0.5896321745225558,s20,s20
s20_ex09,s20,52.041666666666664,1,0.46386856945669647,s20,s20
s20_ex10,s20,53.708333333333336,1,0.5307888267095024,s20,s20
